	L1	L10	L100	L101	L102	L103	L104	L105	L106	L107	L108	L109	L11	L110	L111	L112	L113	L114	L115	L116	L117	L118	L119	L12	L120	L121	L122	L123	L124	L125	L126	L127	L128	L129	L13	L130	L131	L132	L133	L134	L135	L136	L137	L138	L139	L14	L140	L141	L142	L143	L144	L15	L16	L17	L18	L19	L2	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L3	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L40	L41	L42	L43	L44	L45	L46	L48	L49	L5	L50	L51	L53	L54	L55	L56	L57	L58	L59	L6	L60	L61	L62	L63	L64	L65	L66	L67	L68	L69	L7	L70	L71	L72	L73	L75	L76	L77	L78	L79	L8	L80	L81	L82	L84	L85	L86	L87	L88	L89	L9	L90	L91	L93	L94	L95	L96	L97	L98	L99
L1	0.0	0.7555555555555555	0.8235294117647058	0.8421052631578947	0.75	0.7948717948717948	0.8271604938271605	0.9076923076923077	0.717391304347826	0.9230769230769231	0.8545454545454545	0.8305084745762712	0.7848101265822784	0.7954545454545454	0.7936507936507936	0.8636363636363636	0.803921568627451	0.7916666666666666	0.8518518518518519	0.6666666666666666	0.8253968253968254	0.86	0.8666666666666667	0.7580645161290323	0.9024390243902439	0.9016393442622951	0.7169811320754716	0.9411764705882353	0.8448275862068966	0.9069767441860465	0.7631578947368421	0.9069767441860465	0.8333333333333334	0.851063829787234	0.7346938775510204	0.8333333333333334	0.84375	0.8666666666666667	0.8488372093023255	0.8888888888888888	0.8933333333333333	0.8305084745762712	0.8591549295774648	0.7659574468085106	0.8787878787878788	0.8333333333333334	0.7636363636363637	0.8941176470588236	0.7916666666666666	0.803030303030303	0.7941176470588235	0.8554216867469879	0.8	0.7380952380952381	0.8571428571428571	0.8695652173913043	0.6410256410256411	0.8205128205128205	0.7916666666666666	0.6904761904761905	0.7833333333333333	0.6829268292682927	0.78	0.6938775510204082	0.8166666666666667	0.6585365853658537	0.775	0.8135593220338984	0.68	0.8481012658227848	0.6060606060606061	0.6739130434782609	0.631578947368421	0.5641025641025641	0.7714285714285715	0.765625	0.7954545454545454	0.7391304347826086	0.847457627118644	0.7272727272727273	0.8157894736842105	0.835820895522388	0.8461538461538461	0.6923076923076923	0.8596491228070176	0.6857142857142857	0.8035714285714286	0.6956521739130435	0.8108108108108109	0.8571428571428571	0.7727272727272727	0.7631578947368421	0.8817204301075269	0.7962962962962963	0.8536585365853658	0.7435897435897436	0.7659574468085106	0.8260869565217391	0.8387096774193549	0.8153846153846154	0.825	0.85	0.8214285714285714	0.7794117647058824	0.8157894736842105	0.9375	0.8571428571428571	0.8421052631578947	0.7777777777777778	0.7090909090909091	0.8095238095238095	0.835820895522388	0.6724137931034483	0.7241379310344828	0.631578947368421	0.8181818181818182	0.6923076923076923	0.8064516129032258	0.7575757575757576	0.7321428571428571	0.7857142857142857	0.8444444444444444	0.8269230769230769	0.8793103448275862	0.875	0.9142857142857143	0.925	0.7692307692307693	0.6829268292682927	0.7872340425531915	0.8888888888888888	0.859375	0.7843137254901961	0.7704918032786885	0.7446808510638298	0.8166666666666667	0.8181818181818182	0.7945205479452054
L10	0.7555555555555555	0.0	0.75	0.8192771084337349	0.6607142857142857	0.7608695652173914	0.7931034482758621	0.8904109589041096	0.5918367346938775	0.8490566037735849	0.7627118644067796	0.803030303030303	0.7073170731707317	0.6875	0.696969696969697	0.75	0.7966101694915254	0.7636363636363637	0.788235294117647	0.625	0.782608695652174	0.8035714285714286	0.8125	0.6818181818181818	0.7777777777777778	0.8507462686567164	0.6551724137931034	0.8235294117647058	0.7580645161290323	0.8444444444444444	0.7333333333333333	0.7906976744186046	0.8461538461538461	0.7924528301886793	0.7586206896551724	0.7317073170731707	0.7272727272727273	0.7419354838709677	0.8152173913043478	0.75	0.8227848101265823	0.6833333333333333	0.7866666666666666	0.64	0.8333333333333334	0.7413793103448276	0.631578947368421	0.8695652173913043	0.64	0.7808219178082192	0.813953488372093	0.7647058823529411	0.6896551724137931	0.6595744680851063	0.71875	0.8571428571428571	0.6304347826086957	0.7857142857142857	0.8666666666666667	0.75	0.703125	0.7450980392156863	0.7090909090909091	0.6037735849056604	0.7538461538461538	0.5869565217391305	0.6590909090909091	0.8059701492537313	0.5660377358490566	0.8255813953488372	0.6976744186046512	0.660377358490566	0.6521739130434783	0.625	0.675	0.7464788732394366	0.7142857142857143	0.7636363636363637	0.78125	0.7307692307692307	0.8043478260869565	0.8108108108108109	0.8135593220338984	0.7551020408163265	0.7903225806451613	0.6	0.6724137931034483	0.7272727272727273	0.8	0.8115942028985508	0.7692307692307693	0.7608695652173914	0.8823529411764706	0.7288135593220338	0.8125	0.7708333333333334	0.64	0.6417910447761194	0.7384615384615385	0.7916666666666666	0.8125	0.8539325842696629	0.6666666666666666	0.726027397260274	0.8043478260869565	0.926829268292683	0.7391304347826086	0.8735632183908046	0.7936507936507936	0.6721311475409836	0.7640449438202247	0.7605633802816901	0.7014925373134329	0.7076923076923077	0.6521739130434783	0.7530864197530864	0.6779661016949152	0.8169014084507042	0.813953488372093	0.6721311475409836	0.782051282051282	0.76	0.7543859649122807	0.8636363636363636	0.7692307692307693	0.8533333333333334	0.8958333333333334	0.7457627118644068	0.6666666666666666	0.7358490566037735	0.8505747126436781	0.8472222222222222	0.6909090909090909	0.7857142857142857	0.6730769230769231	0.7727272727272727	0.7435897435897436	0.7901234567901234
L100	0.8235294117647058	0.75	0.0	0.8611111111111112	0.82	0.6774193548387096	0.8875	0.8793103448275862	0.7073170731707317	0.8842105263157894	0.7608695652173914	0.8333333333333334	0.875	0.8809523809523809	0.8135593220338984	0.8421052631578947	0.8043478260869565	0.8181818181818182	0.8987341772151899	0.75	0.8666666666666667	0.8666666666666667	0.9027777777777778	0.8166666666666667	0.8529411764705882	0.8909090909090909	0.7843137254901961	0.9230769230769231	0.8909090909090909	0.8860759493670886	0.7575757575757576	0.9	0.9259259259259259	0.8571428571428571	0.9019607843137255	0.8387096774193549	0.8666666666666667	0.8301886792452831	0.8658536585365854	0.8108108108108109	0.8840579710144928	0.8333333333333334	0.8636363636363636	0.8444444444444444	0.8275862068965517	0.8125	0.8301886792452831	0.9135802469135802	0.8444444444444444	0.8412698412698413	0.6538461538461539	0.8734177215189873	0.8461538461538461	0.8536585365853658	0.8620689655172413	0.8571428571428571	0.825	0.8378378378378378	0.9166666666666666	0.7105263157894737	0.864406779661017	0.8292682926829268	0.9	0.7916666666666666	0.8596491228070176	0.7105263157894737	0.868421052631579	0.8148148148148148	0.75	0.8961038961038961	0.8235294117647058	0.8297872340425532	0.8205128205128205	0.75	0.6785714285714286	0.8939393939393939	0.825	0.7906976744186046	0.8301886792452831	0.7804878048780488	0.7	0.8571428571428571	0.875	0.7837837837837838	0.8431372549019608	0.75	0.8490566037735849	0.875	0.7741935483870968	0.8620689655172413	0.8	0.8285714285714286	0.9111111111111111	0.82	0.8611111111111112	0.8055555555555556	0.7906976744186046	0.8095238095238095	0.9	0.9076923076923077	0.7575757575757576	0.8533333333333334	0.8888888888888888	0.8153846153846154	0.8181818181818182	0.9629629629629629	0.8	0.8611111111111112	0.8235294117647058	0.7962962962962963	0.8809523809523809	0.8923076923076924	0.7966101694915254	0.847457627118644	0.7894736842105263	0.8961038961038961	0.8076923076923077	0.8666666666666667	0.8333333333333334	0.8596491228070176	0.9027777777777778	0.8205128205128205	0.9	0.8653846153846154	0.8292682926829268	0.8888888888888888	0.9117647058823529	0.84	0.8292682926829268	0.7857142857142857	0.9090909090909091	0.864406779661017	0.782608695652174	0.85	0.8478260869565217	0.7962962962962963	0.68	0.8285714285714286
L101	0.8421052631578947	0.8192771084337349	0.8611111111111112	0.0	0.7558139534883721	0.7464788732394366	0.7876106194690266	0.7849462365591398	0.7976190476190477	0.796875	0.8333333333333334	0.7802197802197802	0.7567567567567568	0.8125	0.7835051546391752	0.8205128205128205	0.7439024390243902	0.8095238095238095	0.8157894736842105	0.759493670886076	0.7789473684210526	0.8352941176470589	0.8130841121495327	0.7731958762886598	0.8846153846153846	0.8021978021978022	0.735632183908046	0.8717948717948718	0.8645833333333334	0.8070175438596491	0.7808219178082192	0.8070175438596491	0.9154929577464789	0.7692307692307693	0.8314606741573034	0.8169014084507042	0.7916666666666666	0.7912087912087912	0.7522123893805309	0.7894736842105263	0.8207547169811321	0.7666666666666667	0.7821782178217822	0.7654320987654321	0.8514851485148515	0.8068181818181818	0.8172043010752689	0.7636363636363637	0.7654320987654321	0.79	0.8309859154929577	0.808695652173913	0.8260869565217391	0.7662337662337663	0.86	0.75	0.8125	0.8035714285714286	0.8888888888888888	0.7875	0.8144329896907216	0.8292682926829268	0.788235294117647	0.7529411764705882	0.7717391304347826	0.8024691358024691	0.7866666666666666	0.7956989247311828	0.8131868131868132	0.7333333333333333	0.8108108108108109	0.7439024390243902	0.7948717948717948	0.7435897435897436	0.8666666666666667	0.7653061224489796	0.8414634146341463	0.8372093023255814	0.8541666666666666	0.8048780487804879	0.84	0.723404255319149	0.813953488372093	0.7432432432432432	0.7411764705882353	0.7605633802816901	0.7888888888888889	0.8409090909090909	0.8378378378378378	0.7333333333333333	0.8	0.8589743589743589	0.773109243697479	0.8494623655913979	0.8441558441558441	0.8481012658227848	0.7654320987654321	0.7448979591836735	0.8367346938775511	0.8217821782178217	0.8734177215189873	0.8141592920353983	0.7586206896551724	0.7244897959183674	0.84	0.9295774647887324	0.8607594936708861	0.7378640776699029	0.851063829787234	0.7159090909090909	0.7207207207207207	0.8235294117647058	0.7731958762886598	0.7111111111111111	0.7466666666666667	0.7570093457943925	0.735632183908046	0.7526881720430108	0.8309859154929577	0.8105263157894737	0.7425742574257426	0.8395061728395061	0.8426966292134831	0.797752808988764	0.8433734939759037	0.82	0.9102564102564102	0.8089887640449438	0.7692307692307693	0.7468354430379747	0.8108108108108109	0.8383838383838383	0.8045977011494253	0.7419354838709677	0.7976190476190477	0.7444444444444445	0.8591549295774648	0.6868686868686869
L102	0.75	0.6607142857142857	0.82	0.7558139534883721	0.0	0.7307692307692307	0.7472527472527473	0.875	0.6779661016949152	0.8407079646017699	0.8115942028985508	0.7945205479452054	0.776595744680851	0.6909090909090909	0.75	0.8103448275862069	0.7692307692307693	0.7377049180327869	0.7956989247311828	0.7288135593220338	0.7922077922077922	0.8307692307692308	0.8314606741573034	0.6285714285714286	0.8363636363636363	0.8533333333333334	0.55	0.898989898989899	0.821917808219178	0.7978723404255319	0.68	0.8229166666666666	0.8260869565217391	0.8412698412698413	0.734375	0.78	0.7922077922077922	0.7014925373134329	0.7959183673469388	0.7454545454545455	0.8275862068965517	0.7058823529411765	0.7804878048780488	0.625	0.8518518518518519	0.7384615384615385	0.7014925373134329	0.8350515463917526	0.6	0.775	0.8	0.7872340425531915	0.6923076923076923	0.6666666666666666	0.8026315789473685	0.7875	0.7142857142857143	0.7802197802197802	0.796875	0.7241379310344828	0.7397260273972602	0.5961538461538461	0.6440677966101694	0.639344262295082	0.8	0.6037735849056604	0.64	0.7972972972972973	0.671875	0.7209302325581395	0.7254901960784313	0.5714285714285714	0.660377358490566	0.6607142857142857	0.76	0.7272727272727273	0.7586206896551724	0.796875	0.7916666666666666	0.75	0.8363636363636363	0.7721518987341772	0.746031746031746	0.75	0.7272727272727273	0.7254901960784313	0.7164179104477612	0.7258064516129032	0.7142857142857143	0.8181818181818182	0.7413793103448276	0.7777777777777778	0.8504672897196262	0.7647058823529411	0.8620689655172413	0.8070175438596491	0.6724137931034483	0.7654320987654321	0.7702702702702703	0.7368421052631579	0.7547169811320755	0.8315789473684211	0.7121212121212122	0.725	0.72	0.9183673469387755	0.7115384615384616	0.8494623655913979	0.75	0.6153846153846154	0.7340425531914894	0.7564102564102564	0.7027027027027027	0.6521739130434783	0.660377358490566	0.7777777777777778	0.6190476190476191	0.7922077922077922	0.8	0.6363636363636364	0.8045977011494253	0.7758620689655172	0.75	0.8493150684931506	0.7833333333333333	0.8690476190476191	0.9310344827586207	0.7971014492753623	0.7192982456140351	0.7540983606557377	0.8526315789473684	0.85	0.7142857142857143	0.7948717948717948	0.7213114754098361	0.7837837837837838	0.7391304347826086	0.7261904761904762
L103	0.7948717948717948	0.7608695652173914	0.6774193548387096	0.7464788732394366	0.7307692307692307	0.0	0.8571428571428571	0.819672131147541	0.75	0.7978723404255319	0.8363636363636363	0.75	0.8024691358024691	0.851063829787234	0.796875	0.8409090909090909	0.7843137254901961	0.7959183673469388	0.8536585365853658	0.7872340425531915	0.828125	0.8627450980392157	0.868421052631579	0.835820895522388	0.9047619047619048	0.7857142857142857	0.7894736842105263	0.9036144578313253	0.847457627118644	0.8554216867469879	0.7368421052631579	0.8690476190476191	0.8387096774193549	0.8043478260869565	0.8545454545454545	0.8055555555555556	0.8461538461538461	0.7894736842105263	0.8764044943820225	0.813953488372093	0.8333333333333334	0.8333333333333334	0.8450704225352113	0.7959183673469388	0.7288135593220338	0.7924528301886793	0.8103448275862069	0.8554216867469879	0.82	0.8235294117647058	0.7647058823529411	0.8571428571428571	0.8448275862068966	0.7441860465116279	0.8412698412698413	0.8382352941176471	0.8	0.8658536585365854	0.8867924528301887	0.7555555555555555	0.8064516129032258	0.75	0.8301886792452831	0.7735849056603774	0.7142857142857143	0.7555555555555555	0.8095238095238095	0.7758620689655172	0.7818181818181819	0.8354430379746836	0.7631578947368421	0.7843137254901961	0.7674418604651163	0.7333333333333333	0.7058823529411765	0.8732394366197183	0.851063829787234	0.7708333333333334	0.85	0.7872340425531915	0.8205128205128205	0.803030303030303	0.8269230769230769	0.7619047619047619	0.8	0.6571428571428571	0.8070175438596491	0.78	0.8157894736842105	0.7833333333333333	0.7777777777777778	0.7692307692307693	0.8333333333333334	0.8214285714285714	0.8292682926829268	0.8636363636363636	0.7708333333333334	0.8285714285714286	0.859375	0.9014084507042254	0.7692307692307693	0.8227848101265823	0.8035714285714286	0.8169014084507042	0.8205128205128205	0.90625	0.775	0.8133333333333334	0.7818181818181819	0.8	0.8390804597701149	0.8714285714285714	0.78125	0.7704918032786885	0.7674418604651163	0.8205128205128205	0.7894736842105263	0.7903225806451613	0.7272727272727273	0.819672131147541	0.8378378378378378	0.7380952380952381	0.8518518518518519	0.7777777777777778	0.8297872340425532	0.8333333333333334	0.926829268292683	0.7962962962962963	0.7777777777777778	0.7659574468085106	0.8625	0.84375	0.7647058823529411	0.7936507936507936	0.8235294117647058	0.7142857142857143	0.7096774193548387	0.7808219178082192
L104	0.8271604938271605	0.7931034482758621	0.8875	0.7876106194690266	0.7472527472527473	0.8571428571428571	0.0	0.8571428571428571	0.8	0.8074074074074075	0.782608695652174	0.82	0.7711864406779662	0.7710843373493976	0.8207547169811321	0.8072289156626506	0.8297872340425532	0.7701149425287356	0.7758620689655172	0.75	0.7941176470588235	0.7954545454545454	0.8245614035087719	0.6595744680851063	0.8536585365853658	0.84	0.7419354838709677	0.8790322580645161	0.7916666666666666	0.7777777777777778	0.7848101265822784	0.8278688524590164	0.88	0.9042553191489362	0.7093023255813954	0.8481012658227848	0.77	0.6853932584269663	0.7768595041322314	0.8352941176470589	0.831858407079646	0.7835051546391752	0.8596491228070176	0.7558139534883721	0.8918918918918919	0.7956989247311828	0.7419354838709677	0.8828125	0.7558139534883721	0.8363636363636363	0.875	0.7692307692307693	0.75	0.813953488372093	0.7777777777777778	0.7788461538461539	0.8275862068965517	0.6176470588235294	0.8369565217391305	0.7619047619047619	0.803921568627451	0.8023255813953488	0.8172043010752689	0.7849462365591398	0.8461538461538461	0.7764705882352941	0.7435897435897436	0.7857142857142857	0.7362637362637363	0.782608695652174	0.8414634146341463	0.75	0.7682926829268293	0.75	0.8354430379746836	0.6804123711340206	0.725	0.8494623655913979	0.7	0.7647058823529411	0.8536585365853658	0.8761061946902655	0.7176470588235294	0.8372093023255814	0.7191011235955056	0.8690476190476191	0.7391304347826086	0.8152173913043478	0.8518518518518519	0.8691588785046729	0.8023255813953488	0.7692307692307693	0.7560975609756098	0.7191011235955056	0.8433734939759037	0.8470588235294118	0.6790123456790124	0.7128712871287128	0.7653061224489796	0.7272727272727273	0.8292682926829268	0.7522123893805309	0.7222222222222222	0.7777777777777778	0.8395061728395061	0.9625	0.8588235294117647	0.8189655172413793	0.776595744680851	0.6206896551724138	0.7264957264957265	0.7669902912621359	0.7272727272727273	0.71875	0.7831325301204819	0.7719298245614035	0.6551724137931034	0.8285714285714286	0.8461538461538461	0.723404255319149	0.7592592592592593	0.8651685393258427	0.8421052631578947	0.9142857142857143	0.8295454545454546	0.9316239316239316	0.9176470588235294	0.87	0.8023255813953488	0.7816091954022989	0.8512396694214877	0.8380952380952381	0.7666666666666667	0.8411214953271028	0.7142857142857143	0.8	0.8571428571428571	0.7314814814814815
L105	0.9076923076923077	0.8904109589041096	0.8793103448275862	0.7849462365591398	0.875	0.819672131147541	0.8571428571428571	0.0	0.8493150684931506	0.8189655172413793	0.8571428571428571	0.810126582278481	0.8365384615384616	0.9315068493150684	0.8651685393258427	0.8805970149253731	0.8533333333333334	0.8933333333333333	0.897196261682243	0.8591549295774648	0.8214285714285714	0.9210526315789473	0.8421052631578947	0.8539325842696629	0.9230769230769231	0.8051948051948052	0.8658536585365854	0.9047619047619048	0.8780487804878049	0.8666666666666667	0.9411764705882353	0.8773584905660378	0.9285714285714286	0.8208955223880597	0.8987341772151899	0.9193548387096774	0.7926829268292683	0.8795180722891566	0.8518518518518519	0.9130434782608695	0.851063829787234	0.9195402298850575	0.8089887640449438	0.8933333333333333	0.8072289156626506	0.8571428571428571	0.8928571428571429	0.8557692307692307	0.8933333333333333	0.8181818181818182	0.8421052631578947	0.8349514563106796	0.8333333333333334	0.8529411764705882	0.8850574712643678	0.8555555555555555	0.8857142857142857	0.83	0.8142857142857143	0.8571428571428571	0.8048780487804879	0.8873239436619719	0.8974358974358975	0.8589743589743589	0.8433734939759037	0.8405797101449275	0.9117647058823529	0.8125	0.8333333333333334	0.8041237113402062	0.9076923076923077	0.8533333333333334	0.8153846153846154	0.8428571428571429	0.9032258064516129	0.8444444444444444	0.8695652173913043	0.7794117647058824	0.8518518518518519	0.8428571428571429	0.8709677419354839	0.8295454545454546	0.8666666666666667	0.8823529411764706	0.8311688311688312	0.9076923076923077	0.8205128205128205	0.8961038961038961	0.8305084745762712	0.8024691358024691	0.8714285714285714	0.819672131147541	0.794392523364486	0.8888888888888888	0.8923076923076924	0.8787878787878788	0.8933333333333333	0.8351648351648352	0.8452380952380952	0.9148936170212766	0.8571428571428571	0.875	0.8765432098765432	0.851063829787234	0.90625	0.9649122807017544	0.8939393939393939	0.7849462365591398	0.8181818181818182	0.8571428571428571	0.8207547169811321	0.8555555555555555	0.8	0.8072289156626506	0.8840579710144928	0.7659574468085106	0.8795180722891566	0.8352941176470589	0.8813559322033898	0.8571428571428571	0.8172043010752689	0.8333333333333334	0.8533333333333334	0.8607594936708861	0.855072463768116	0.8255813953488372	0.8666666666666667	0.8133333333333334	0.8382352941176471	0.8285714285714286	0.8383838383838383	0.7901234567901234	0.8243243243243243	0.7951807228915663	0.88	0.7027027027027027	0.8771929824561403	0.7582417582417582
L106	0.717391304347826	0.5918367346938775	0.7073170731707317	0.7976190476190477	0.6779661016949152	0.75	0.8	0.8493150684931506	0.0	0.8425925925925926	0.7936507936507936	0.7575757575757576	0.7325581395348837	0.7307692307692307	0.7101449275362319	0.7647058823529411	0.7457627118644068	0.7543859649122807	0.7529411764705882	0.7222222222222222	0.7571428571428571	0.7719298245614035	0.8048780487804879	0.6956521739130435	0.84	0.8059701492537313	0.6271186440677966	0.8681318681318682	0.8059701492537313	0.8111111111111111	0.6666666666666666	0.8111111111111111	0.8571428571428571	0.7818181818181819	0.7903225806451613	0.7209302325581395	0.7746478873239436	0.7538461538461538	0.8085106382978723	0.7647058823529411	0.8148148148148148	0.71875	0.825	0.660377358490566	0.8082191780821918	0.7333333333333333	0.65	0.8111111111111111	0.6346153846153846	0.7397260273972602	0.7727272727272727	0.7441860465116279	0.6610169491525424	0.6530612244897959	0.8028169014084507	0.7534246575342466	0.7058823529411765	0.7931034482758621	0.8166666666666667	0.7169811320754716	0.696969696969697	0.7115384615384616	0.7241379310344828	0.6724137931034483	0.7272727272727273	0.64	0.7083333333333334	0.7794117647058824	0.6379310344827587	0.8181818181818182	0.7446808510638298	0.6785714285714286	0.6170212765957447	0.6470588235294118	0.7272727272727273	0.7894736842105263	0.7777777777777778	0.7758620689655172	0.734375	0.7222222222222222	0.7391304347826086	0.7866666666666666	0.7833333333333333	0.7450980392156863	0.7213114754098361	0.6888888888888889	0.7301587301587301	0.7192982456140351	0.7872340425531915	0.8356164383561644	0.7818181818181819	0.8235294117647058	0.8529411764705882	0.7419354838709677	0.8235294117647058	0.76	0.7090909090909091	0.6571428571428571	0.7681159420289855	0.8157894736842105	0.7755102040816326	0.8586956521739131	0.7258064516129032	0.72	0.7916666666666666	0.9318181818181818	0.7551020408163265	0.8255813953488372	0.7049180327868853	0.6666666666666666	0.7444444444444445	0.7702702702702703	0.6764705882352942	0.7014925373134329	0.7	0.7764705882352941	0.6935483870967742	0.7916666666666666	0.8	0.7076923076923077	0.759493670886076	0.7735849056603774	0.7666666666666667	0.78125	0.7818181818181819	0.8441558441558441	0.9019607843137255	0.7377049180327869	0.6862745098039216	0.75	0.8426966292134831	0.8055555555555556	0.7068965517241379	0.7605633802816901	0.6909090909090909	0.746268656716418	0.631578947368421	0.7375
L107	0.9230769230769231	0.8490566037735849	0.8842105263157894	0.796875	0.8407079646017699	0.7978723404255319	0.8074074074074075	0.8189655172413793	0.8425925925925926	0.0	0.8482142857142857	0.7614678899082569	0.8088235294117647	0.8666666666666667	0.8067226890756303	0.8737864077669902	0.8348623853211009	0.8301886792452831	0.8394160583941606	0.8380952380952381	0.8235294117647058	0.8611111111111112	0.8294573643410853	0.8083333333333333	0.89	0.8333333333333334	0.8035714285714286	0.835820895522388	0.853448275862069	0.8235294117647058	0.8469387755102041	0.8235294117647058	0.9368421052631579	0.8990825688073395	0.8869565217391304	0.92	0.8135593220338984	0.8347826086956521	0.8380281690140845	0.8627450980392157	0.8174603174603174	0.8362068965517241	0.8333333333333334	0.8928571428571429	0.8524590163934426	0.8782608695652174	0.8245614035087719	0.8888888888888888	0.8518518518518519	0.84	0.8494623655913979	0.7985074626865671	0.8421052631578947	0.8557692307692307	0.85	0.8099173553719008	0.8666666666666667	0.803030303030303	0.8928571428571429	0.8691588785046729	0.8416666666666667	0.8571428571428571	0.8859649122807017	0.8181818181818182	0.8770491803278688	0.8899082568807339	0.8942307692307693	0.8070175438596491	0.8108108108108109	0.8455882352941176	0.8910891089108911	0.8240740740740741	0.8761904761904762	0.8703703703703703	0.8645833333333334	0.8671875	0.8666666666666667	0.8828828828828829	0.7818181818181819	0.8909090909090909	0.8315789473684211	0.8387096774193549	0.8545454545454545	0.8962264150943396	0.7523809523809524	0.8686868686868687	0.8230088495575221	0.8947368421052632	0.8775510204081632	0.8103448275862069	0.8118811881188119	0.87	0.8028169014084507	0.8198198198198198	0.9238095238095239	0.9150943396226415	0.8301886792452831	0.7851239669421488	0.8103448275862069	0.8828125	0.87	0.8208955223880597	0.831858407079646	0.8267716535433071	0.89	0.9690721649484536	0.8823529411764706	0.8507462686567164	0.7889908256880734	0.808695652173913	0.8309859154929577	0.8292682926829268	0.8278688524590164	0.8429752066115702	0.8867924528301887	0.8015267175572519	0.8245614035087719	0.8333333333333334	0.9191919191919192	0.8487394957983193	0.8646616541353384	0.8867924528301887	0.8660714285714286	0.8608695652173913	0.8888888888888888	0.8166666666666667	0.9313725490196079	0.8596491228070176	0.8785046728971962	0.839622641509434	0.8613138686131386	0.860655737704918	0.8148148148148148	0.8629032258064516	0.8095238095238095	0.7657657657657657	0.8829787234042553	0.7874015748031497
