#SampleID,genotype,fertility,amf,rep,group,shoot_mass,root_mass,total_mass,ratio_root_to_shoot,root_colonization,TN,P,Ca,K,Mg,Na,S,B,Fe,Zn,Cu,Mn,Length,AvgDiam,Forks,SurfArea,Origin,Percent
L1,1,P,Y,1,Common (C. dactylon),29.961,4.46,34.421,0.129572064,43,1.3317,0.046,0.605,0.81,0.225,0.083,0.222,4.652,205.131,40.296,24.655,134.694,162.8464,0.2905,904,14.8643,African,100%
L10,1,PPP,Y,2,Common (C. dactylon),26.283,10.16,36.443,0.278791537,36,1.52,0.13,0.51,1.2,0.21,,0.34,5.4,291.1,29,15.8,66.9,329.7942,0.2978,2620,30.8595,African,100%
L100,9,PP,Y,5,Common (C. dactylon),18.142,6.82,24.962,0.273215287,21,1.36,0.076,0.905,1.171,0.223,0.082,0.36,6.216,48.811,38.705,9.024,55.564,229.4975,0.3495,1577,25.1969,Asian,100%
L101,9,PP,Y,1,Common (C. dactylon),25.649,10.88,36.529,0.297845547,26,1.25,0.09,0.58,1.01,0.16,,0.27,3.5,290.8,26.9,16.6,70.9,216.1839,0.3708,1395,25.1835,Asian,100%
L102,9,PP,Y,2,Common (C. dactylon),25.664,12.66,38.324,0.3303413,39,1.33,0.11,0.73,1.38,0.19,,0.37,7.2,265.7,29.2,20.7,83.9,302.0509,0.2743,1827,26.0297,Asian,100%
L103,9,PP,Y,4,Common (C. dactylon),20.877,9.99,30.867,0.323646613,43,1.13,0.108,0.698,0.954,0.205,0.074,0.279,4.911,152.31,21.092,15.818,49.094,223.9335,0.3073,1535,21.616,Asian,100%
L104,9,PPP,Y,5,Common (C. dactylon),26.25,14.52,40.77,0.356144224,36,1.58,0.093,0.903,1.222,0.233,0.095,0.347,5.941,50.27,25.073,7.445,50.379,502.1739,0.322,4918,50.8061,Asian,100%
L105,9,PPP,Y,1,Common (C. dactylon),16.197,4.11,20.307,0.202393263,39,1.67,0.116,1.042,1.37,0.278,0.08,0.468,5.601,80.98,44.453,14.094,138.823,265.3551,0.4142,1202,34.5309,Asian,100%
L106,9,PPP,Y,2,Common (C. dactylon),21.861,10.45,32.311,0.323419269,29,1.71,0.038,0.568,1.071,0.241,0.088,0.275,3.841,45.572,39.9,13.052,134.969,209.6834,0.3196,1627,21.0517,Asian,100%
L107,9,PPP,Y,4,Common (C. dactylon),26.584,12.25,38.834,0.315445228,24,1.53,0.098,0.805,1.131,0.219,0.091,0.34,6.891,80.31,26.738,9.972,53.268,385.0897,0.2497,3024,30.2032,Asian,100%
L108,10,P,Y,5,Hybrid (C. transvaalensis),16.614,9.06,25.674,0.352886188,37,1.39,0.064,0.73,1.026,0.172,0.086,0.24,1.925,86.188,38.666,12.482,140.044,361.7337,0.3429,2804,38.9643,African,100%
L109,10,P,Y,1,Hybrid (C. transvaalensis),16.22,8.94,25.16,0.355325914,30,1.35,0.1,0.73,1.28,0.2,,0.35,7.1,223.5,26.6,20,64.2,405.6096,0.3801,3661,48.4346,African,100%
L11,1,PPP,Y,4,Common (C. dactylon),29.797,14.14,43.937,0.32182443,26,1.2076,0.097,0.456,1.006,0.202,0.127,0.293,2.728,26.531,27.049,9.913,37.703,538.5714,0.3318,4405,56.1337,African,100%
L110,10,P,Y,2,Hybrid (C. transvaalensis),13.416,8.42,21.836,0.385601759,35,1.47,0.058,0.918,1.155,0.301,0.066,0.337,5.649,167.216,31.929,12.253,122.843,291.7232,0.3293,2170,30.1802,African,100%
L111,10,P,Y,4,Hybrid (C. transvaalensis),17.917,7.89,25.807,0.305731003,31,1.29,0.057,0.731,1.048,0.183,0.136,0.265,< 2.7,67.297,29.865,10.681,100.595,526.3769,0.322,4417,53.2482,African,100%
L112,10,PP,Y,5,Hybrid (C. transvaalensis),19.256,7.05,26.306,0.267999696,32,1.56,0.094,1.007,1.022,0.209,0.156,0.318,3.776,131.558,44.13,13.45,115.738,550.5494,0.3404,5270,58.8671,African,100%
L113,10,PP,Y,1,Hybrid (C. transvaalensis),17.77,7.17,24.94,0.287489976,34,1.35,0.1,0.73,1.3,0.2,,0.36,7.2,246.3,26.2,20.2,65.7,420.9916,0.3646,7106,48.22,African,100%
L114,10,PP,Y,2,Hybrid (C. transvaalensis),22.041,15.86,37.901,0.418458616,36,1.4,0.1,0.78,1.55,0.21,,0.44,6.9,217.5,29.8,23.5,141.9,294.0502,0.4034,2200,37.2675,African,100%
L115,10,PP,Y,4,Hybrid (C. transvaalensis),19.223,15.17,34.393,0.441078126,31,1.28,0.074,0.776,1.036,0.167,0.114,0.254,< 2.7,10.551,32.882,9.013,101.272,282.4746,0.3922,2328,34.8014,African,100%
L116,10,PPP,Y,5,Hybrid (C. transvaalensis),21.646,11.42,33.066,0.345369866,32,1.48,0.102,0.771,1.034,0.178,0.141,0.278,2.861,34.801,31.035,12.586,120.292,372.1666,0.3826,2921,44.7343,African,100%
L117,10,PPP,Y,1,Hybrid (C. transvaalensis),21.452,7.88,29.332,0.268648575,27,1.46,0.08,0.56,1.07,0.17,,0.34,2.8,149.3,24.6,14.9,102.6,345.5173,0.4043,2581,43.8808,African,100%
