# Constructed from biom file																																																																																																																																																												
#OTU ID	L1	L10	L100	L101	L102	L103	L104	L105	L106	L107	L108	L109	L11	L110	L111	L112	L113	L114	L115	L116	L117	L118	L119	L12	L120	L121	L122	L123	L124	L125	L126	L127	L128	L129	L13	L130	L131	L132	L133	L134	L135	L136	L137	L138	L139	L14	L140	L141	L142	L143	L144	L15	L16	L17	L18	L19	L2	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L3	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L4	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L5	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L6	L60	L61	L62	L63	L64	L65	L66	L67	L68	L69	L7	L70	L71	L72	L73	L74	L75	L76	L77	L78	L79	L8	L80	L81	L82	L83	L84	L85	L86	L87	L88	L89	L9	L90	L91	L92	L93	L94	L95	L96	L97	L98	L99	LB1	LB10	LB11	LB12	LB2	LB3	LB4	LB5	LB6	LB7	LB8	LB9
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__MO-G17	5556	2649	9868	482	9102	9678	560	6023	1768	2788	948	7811	1464	30	2962	40	13200	0	63	10373	1231	125	11	61	97	197	188	137	167	321	12507	137	0	2045	0	75	5681	53	423	117	0	158	136	81	172	0	86	33	119	62	11267	33	62	12	84	10	13604	300	0	18443	15	13772	0	1634	13	12497	0	6195	5690	19	16338	519	6750	11321	3768	32	8908	1567	0	60	7839	8808	11359	66	12177	6618	9182	5563	281	69	7989	6650	94	14094	26369	344	2074	70	0	11285	520	8432	155	7042	9254	156	0	13841	0	19	18	49	2797	2161	57	10175	11200	3760	9624	52	7107	5982	23	3408	1291	7805	5784	6455	10494	51	3606	0	12536	3925	8778	43	0	8968	3117	5256	11224	11289	15033	11457	0	81	354	625	0	0	863	182	0	0	62	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;__	515	524	161	8626	1029	6055	533	8471	5379	3991	43241	4359	5082	14171	4806	6385	416	10519	11047	374	2170	9978	6322	7298	394	8231	905	6487	1840	9440	954	3948	3045	2012	649	2180	3101	6096	5508	1211	754	2378	6368	2449	4150	1941	4477	4410	5034	3565	113	3938	5592	2159	2316	6048	1397	7772	846	1488	3491	1752	7894	15502	4930	2445	6344	796	5709	5400	636	4358	1291	1797	7311	5323	225	1913	6673	922	1302	194	2086	3593	898	526	1767	156	541	854	1768	1988	2365	260	34141	4965	10492	846	1968	1847	1229	915	4874	388	1601	7445	1926	183	965	7136	8941	11010	3000	7143	3274	4949	2545	581	667	4907	3959	3081	3863	3741	6310	3622	4035	631	4044	3758	763	1550	1671	302	3551	3333	326	4347	1913	3476	1039	3679	1435	1286	1660	730	312	1362	602	0	2224	55	2732	418	768	267
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Yamato09 A2	457	0	51	364	5	27	705	51	314	74	181	101	2445	200	888	1249	376	228	159	1384	39	5	71	206	2396	1207	2885	48	2090	2279	293	352	12190	2922	751	2002	627	92	607	11	6	2482	2361	2912	0	219	958	915	52	185	76	30	0	16151	42	1130	319	118	7	210	21	48	46	44	6	30	68	283	770	0	619	1674	186	238	1192	1763	19	730	374	664	780	6	263	535	157	5	196	69	7030	98	650	506	1043	1801	16701	1365	2486	9727	2357	468	1806	44	587	26	154	0	0	0	0	469	497	970	385	1153	0	102	0	107	329	813	435	0	12543	0	1478	159	0	17	14	764	0	0	50	458	308	562	13	0	880	136	0	179	0	384	0	0	0	0	0	0	0	0	0	1038	88	70
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Glo45	519	0	186	189	114	75	1592	669	789	234	19128	183	1185	274	110	913	153	1395	130	315	1899	658	84	1135	120	1277	3067	163	2950	483	145	0	947	0	2075	75	343	202	2460	49	722	448	762	245	123	784	112	229	532	1018	104	317	1164	193	1636	806	138	2985	2910	997	411	881	312	871	486	1951	1797	661	4278	1948	736	518	1408	1589	428	2237	509	635	1407	1417	1371	80	431	3216	743	498	321	106	677	321	339	156	253	1737	17316	392	718	218	595	154	3910	1432	1464	4420	2613	1917	673	551	131	166	1746	2050	1233	1494	4740	1294	888	661	416	2863	1655	1466	423	2157	3397	295	584	2576	310	938	352	302	944	1249	3267	1420	0	900	3069	629	284	1549	42	819	0	228	327	208	0	0	962	0	0	0	69	214
k__fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__Alguacil12a Para 1	0	61	7	3554	0	165	13	82	251	840	167	2838	2812	0	1931	21	1039	3	432	0	3166	40	4463	0	67	1582	74	6063	52	691	17	1741	55	1977	0	9	973	32	278	4	4762	133	3712	183	245	155	78	550	37	3358	20	785	25	3	52	3194	41	4	4	63	428	0	42	10	970	58	0	213	0	1648	122	76	5	229	17	0	4	1744	54	10	0	5	524	28	16	4	3198	24	133	13	7	1645	10	37	619	1683	62	166	88	1021	606	0	59	0	1065	379	0	9	97	65	3492	839	17	2758	81	800	0	243	0	1432	0	631	129	8	1578	11	1474	0	764	32	165	0	1956	37	88	4350	0	953	46	4260	0	727	0	604	258	0	226	0	0	0	0	0	0	146	28	133
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Whitfield type 17	33	170	0	0	28	0	380	0	178	70	0	0	0	3	0	0	0	0	2	36	2	11	0	0	26	11	11	0	4340	79	101	0	0	0	0	32	0	171	0	0	0	2	6	0	0	0	25	0	0	18	0	0	1136	0	1045	64	0	145	0	0	0	0	0	134	0	7	0	0	55	0	0	0	0	0	0	98	0	0	449	34	0	0	0	8	0	0	9	0	291	0	0	0	30	0	0	17	41	0	0	0	132	0	0	0	0	330	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	50	0	0	18	2	71	17	0	0	26	7	13	5	0	48	0	0	0	0	20	40	0	160	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__GCL-6	0	0	0	268	0	0	0	385	0	0	0	40	29	0	0	1897	0	0	0	0	43	20	265	18	0	0	28	0	0	0	0	2762	0	0	0	0	0	0	378	0	128	24	408	0	0	0	0	0	0	0	58	1897	2161	756	376	371	0	646	355	359	0	0	2278	673	0	0	0	0	0	0	234	1495	0	0	0	194	28	0	87	0	616	190	0	164	521	30	0	0	468	0	449	1191	0	138	0	452	0	0	2782	22	0	0	95	0	0	190	0	0	125	40	0	21	456	0	1020	148	465	141	207	1833	678	276	37	541	463	868	317	491	0	1192	0	125	0	43	0	1280	0	46	154	25	0	263	0	205	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__MO-G8	153	0	50	620	523	54	518	16	2754	890	1333	357	347	357	102	33	158	548	85	485	369	819	226	240	38	9	1743	487	238	284	135	89	4	23	352	37	180	75	82	364	258	732	96	240	0	120	557	68	160	348	182	280	96	81	940	303	0	909	428	719	388	484	371	202	146	234	70	0	611	213	386	258	152	160	579	214	128	0	314	304	50	0	731	1136	241	592	419	9	37	24	1145	347	0	81	360	331	2188	333	686	440	636	37	1252	104	393	182	0	11	274	51	770	645	300	527	231	385	59	61	84	426	394	205	78	127	591	107	448	5	21	96	0	0	112	20	27	52	0	0	95	51	156	170	139	308	0	0	0	0	0	0	731	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;__	57	270	249	574	57	568	5	400	240	152	3769	275	909	31	258	0	214	400	3531	38	270	0	326	442	67	19	34	170	15	772	0	100	0	636	9	4	197	211	4069	166	348	87	1174	25	156	74	183	70	586	341	15	324	271	103	31	17	24	77	16	63	70	34	94	72	242	143	5	228	0	1431	34	34	6	304	45	22	0	454	4	85	43	0	181	144	22	11	200	109	178	16	262	253	0	25	442	68	0	45	0	42	262	16	0	61	89	0	0	623	301	65	51	986	10	811	250	1245	347	324	30	2059	40	328	95	37	81	59	108	0	59	409	59	2	35	87	31	80	0	30	0	660	18	278	352	65	0	127	0	0	0	0	565	0	0	0	317	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;__;__;__;__	0	0	0	108	9	15	0	621	15	85	0	35	79	0	137	0	4	0	140	0	170	0	27	0	87	430	10	197	18	49	0	29	0	64	0	0	123	39	148	0	296	34	49	14	154	89	0	259	0	97	0	40	21	22	112	48	24	0	123	0	0	0	100	0	18	0	0	13	0	229	0	0	4	2	0	25	0	17	4	0	0	0	0	55	43	19	7	0	353	81	0	35	0	24	221	47	7	97	0	16	421	22	133	0	48	21	0	0	0	8	36	11	0	10	0	11	0	0	0	23	0	17	0	0	46	0	36	27	7	53	0	0	15	7	9	85	0	183	54	2	0	93	0	108	0	0	0	124	0	0	0	0	0	0	0	0
